,Unixdatetime,values
0,1454284800.0,0.8
1,1454286600.0,0.41
2,1454288400.0,0.62
3,1454290200.0,0.38
4,1454292000.0,0.23
5,1454293800.0,0.37
6,1454295600.0,0.39
7,1454297400.0,0.55
8,1454299200.0,0.49
9,1454301000.0,0.57
10,1454302800.0,0.05
11,1454304600.0,0.52
12,1454306400.0,0.77
13,1454308200.0,0.05
14,1454310000.0,0.06
15,1454311800.0,0.39
16,1454313600.0,0.2
17,1454315400.0,0.31
18,1454317200.0,0.69
19,1454319000.0,0.06
20,1454320800.0,0.05
21,1454322600.0,0.08
22,1454324400.0,0.02
23,1454326200.0,1.49
24,1454328000.0,0.94
25,1454329800.0,0.78
26,1454331600.0,0.01
27,1454333400.0,0.04
28,1454335200.0,0.28
29,1454337000.0,0.16
30,1454338800.0,0.13
31,1454340600.0,0.41
32,1454342400.0,0.36
33,1454344200.0,0.07
34,1454346000.0,0.06
35,1454347800.0,0.02
36,1454349600.0,1.46
37,1454351400.0,0.28
38,1454353200.0,0.79
39,1454355000.0,0.32
40,1454356800.0,0.73
41,1454358600.0,0.2
42,1454360400.0,0.26
43,1454362200.0,0.3
44,1454364000.0,0.13
45,1454365800.0,0.18
46,1454367600.0,0.32
47,1454369400.0,0.15
48,1454371200.0,0.18
49,1454373000.0,0.48
50,1454374800.0,0.2
51,1454376600.0,0.37
52,1454378400.0,0.13
53,1454380200.0,0.35
54,1454382000.0,0.2
55,1454383800.0,0.19
56,1454385600.0,0.39
57,1454387400.0,0.9
58,1454389200.0,0.37
59,1454391000.0,0.62
60,1454392800.0,0.25
61,1454394600.0,0.01
62,1454396400.0,0.3
63,1454398200.0,0.54
64,1454400000.0,0.45
65,1454401800.0,0.67
66,1454403600.0,1.08
67,1454405400.0,0.32
68,1454407200.0,0.7
69,1454409000.0,0.05
70,1454410800.0,0.71
71,1454412600.0,0.23
72,1454414400.0,0.19
73,1454416200.0,0.22
74,1454418000.0,0.1
75,1454419800.0,0.59
76,1454421600.0,0.32
77,1454423400.0,0.41
78,1454425200.0,0.9
79,1454427000.0,0.97
80,1454428800.0,0.27
81,1454430600.0,0.47
82,1454432400.0,0.66
83,1454434200.0,0.3
84,1454436000.0,0.39
85,1454437800.0,0.17
86,1454439600.0,0.53
87,1454441400.0,0.18
88,1454443200.0,0.25
89,1454445000.0,0.2
90,1454446800.0,0.13
91,1454448600.0,0.17
92,1454450400.0,0.16
93,1454452200.0,0.28
94,1454454000.0,0.3
95,1454455800.0,0.34
