,unixdatetime,value
0,1452211161,0.0
1,1452211162,0.005
2,1452211163,0.013
3,1452211164,0.025
4,1452211165,0.029
5,1452211166,0.039
6,1452211167,0.043
7,1452211168,0.06
8,1452211169,0.061
9,1452211170,0.071
10,1452211171,0.084
11,1452211172,0.085
12,1452211173,0.088
13,1452211174,0.092
14,1452211175,0.099
15,1452211176,0.101
16,1452211177,0.114
17,1452211178,0.115
18,1452211179,0.122
19,1452211180,0.123
20,1452211181,0.142
21,1452211182,0.149
22,1452211183,0.16
23,1452211184,0.162
24,1452211185,0.164
25,1452211186,0.169
26,1452211187,0.171
27,1452211188,0.173
28,1452211189,0.175
29,1452211190,0.176
30,1452211191,0.177
31,1452211192,0.18
32,1452211193,0.182
33,1452211194,0.183
34,1452211195,0.191
35,1452211196,0.2
36,1452211197,0.211
37,1452211198,0.22
38,1452211199,0.222
39,1452211200,0.23
40,1452297561,0.001
41,1452297562,0.001
42,1452297563,0.003
43,1452297564,0.004
44,1452297565,0.006
45,1452297566,0.007
46,1452297567,0.008
47,1452297568,0.011
48,1452297569,0.011
49,1452297570,0.011
50,1452297571,0.012
51,1452297572,0.013
52,1452297573,0.02
53,1452297574,0.023
54,1452297575,0.024
55,1452297576,0.026
56,1452297577,0.027
57,1452297578,0.028
58,1452297579,0.028
59,1452297580,0.028
60,1452297581,0.028
61,1452297582,0.029
62,1452297583,0.034
63,1452297584,0.036
64,1452297585,0.038
65,1452297586,0.038
66,1452297587,0.038
67,1452297588,0.038
68,1452297589,0.04
69,1452297590,0.041
70,1452297591,0.041
71,1452297592,0.042
72,1452297593,0.043
73,1452297594,0.043
74,1452297595,0.043
75,1452297596,0.045
76,1452297597,0.046
77,1452297598,0.046
78,1452297599,0.049
79,1452297600,0.05
80,1452383961,0.064
81,1452383962,0.134
82,1452383963,0.138
83,1452383964,0.145
84,1452383965,0.146
85,1452383966,0.165
86,1452383967,0.168
87,1452383968,0.187
88,1452383969,0.196
89,1452383970,0.199
90,1452383971,0.199
91,1452383972,0.202
92,1452383973,0.233
93,1452383974,0.248
94,1452383975,0.251
95,1452383976,0.271
96,1452383977,0.279
97,1452383978,0.289
98,1452383979,0.307
99,1452383980,0.333
100,1452383981,0.353
101,1452383982,0.359
102,1452383983,0.372
103,1452383984,0.404
104,1452383985,0.41
105,1452383986,0.461
106,1452383987,0.474
107,1452383988,0.487
108,1452383989,0.517
109,1452383990,0.554
110,1452383991,0.556
111,1452383992,0.599
112,1452383993,0.604
113,1452383994,0.608
114,1452383995,0.626
115,1452383996,0.644
116,1452383997,0.69
117,1452383998,0.731
118,1452383999,0.734
119,1452384000,0.74
120,1452729561,0.003
121,1452729562,0.004
122,1452729563,0.006
123,1452729564,0.007
124,1452729565,0.019
125,1452729566,0.02
126,1452729567,0.022
127,1452729568,0.038
128,1452729569,0.047
129,1452729570,0.047
130,1452729571,0.048
131,1452729572,0.051
132,1452729573,0.053
133,1452729574,0.053
134,1452729575,0.055
135,1452729576,0.056
136,1452729577,0.056
137,1452729578,0.059
138,1452729579,0.064
139,1452729580,0.065
140,1452729581,0.067
141,1452729582,0.072
142,1452729583,0.08
143,1452729584,0.08
144,1452729585,0.081
145,1452729586,0.084
146,1452729587,0.086
147,1452729588,0.087
148,1452729589,0.09
149,1452729590,0.091
150,1452729591,0.092
151,1452729592,0.098
152,1452729593,0.099
153,1452729594,0.102
154,1452729595,0.106
155,1452729596,0.11
156,1452729597,0.112
157,1452729598,0.117
158,1452729599,0.119
159,1452729600,0.12
