,unixdatetime,value
0,1469231961,0.007
1,1469231962,0.009
2,1469231963,0.042
3,1469231964,0.043
4,1469231965,0.064
5,1469231966,0.099
6,1469231967,0.109
7,1469231968,0.113
8,1469231969,0.127
9,1469231970,0.132
10,1469231971,0.164
11,1469231972,0.184
12,1469231973,0.222
13,1469231974,0.223
14,1469231975,0.226
15,1469231976,0.245
16,1469231977,0.245
17,1469231978,0.246
18,1469231979,0.266
19,1469231980,0.271
20,1469231981,0.287
21,1469231982,0.301
22,1469231983,0.305
23,1469231984,0.309
24,1469231985,0.313
25,1469231986,0.317
26,1469231987,0.319
27,1469231988,0.325
28,1469231989,0.342
29,1469231990,0.358
30,1469231991,0.36
31,1469231992,0.361
32,1469231993,0.364
33,1469231994,0.385
34,1469231995,0.388
35,1469231996,0.389
36,1469231997,0.389
37,1469231998,0.389
38,1469231999,0.403
39,1469232000,0.41
